SUBEST_ID,Year,Density,SAVAreaHa,NDPD
BAC01,1984,1,0.00 ,
BAC01,1984,2,0.00 ,
BAC01,1984,3,0.00 ,
BAC01,1984,4,0.00 ,
BIG01,1984,1,0.00 ,
BIG01,1984,2,0.00 ,
BIG01,1984,3,0.00 ,
BIG01,1984,4,0.00 ,
BSH01,1984,1,0.00 ,
BSH01,1984,2,0.00 ,
BSH01,1984,3,0.00 ,
BSH01,1984,4,0.00 ,
CB101,1984,1,0.00 ,
CB101,1984,2,0.00 ,
CB101,1984,3,0.00 ,
CB101,1984,4,0.00 ,
CB201,1984,1,0.00 ,
CB201,1984,2,0.00 ,
CB201,1984,3,0.00 ,
CB201,1984,4,0.00 ,
CB202,1984,1,0.00 ,
CB202,1984,2,0.00 ,
CB202,1984,3,0.00 ,
CB202,1984,4,0.00 ,
CB203,1984,1,0.00 ,
CB203,1984,2,0.00 ,
CB203,1984,3,0.00 ,
CB203,1984,4,0.00 ,
CB204,1984,1,0.00 ,
CB204,1984,2,0.00 ,
CB204,1984,3,0.00 ,
CB204,1984,4,0.00 ,
CB301,1984,1,0.00 ,
CB301,1984,2,0.00 ,
CB301,1984,3,0.00 ,
CB301,1984,4,0.00 ,
CB401,1984,1,0.00 ,
CB401,1984,2,24.02 ,
CB401,1984,3,41.28 ,
CB401,1984,4,14.81 ,
CB404,1984,1,0.00 ,
CB404,1984,2,0.00 ,
CB404,1984,3,0.00 ,
CB404,1984,4,0.00 ,
CB501,1984,1,0.00 ,
CB501,1984,2,0.00 ,
CB501,1984,3,0.00 ,
CB501,1984,4,0.00 ,
CB502,1984,1,0.00 ,
CB502,1984,2,0.00 ,
CB502,1984,3,0.00 ,
CB502,1984,4,0.00 ,
CB503,1984,1,22.50 ,
CB503,1984,2,20.68 ,
CB503,1984,3,6.19 ,
CB503,1984,4,0.00 ,
CB504,1984,1,0.00 ,
CB504,1984,2,0.00 ,
CB504,1984,3,0.00 ,
CB504,1984,4,0.00 ,
CB505,1984,1,0.00 ,
CB505,1984,2,0.00 ,
CB505,1984,3,0.00 ,
CB505,1984,4,0.00 ,
CB601,1984,1,0.00 ,
CB601,1984,2,0.00 ,
CB601,1984,3,0.00 ,
