usgs_no	year_nu	month_nu	discharge_cufs	site	year_surv	season
1578310	1984	1	21010	susquehanna	1984	Winter
1578310	1984	2	115800	susquehanna	1984	Winter
1578310	1984	3	55830	susquehanna	1984	Spring
1578310	1984	4	131000	susquehanna	1984	Spring
1578310	1984	5	69990	susquehanna	1984	Spring
1578310	1984	6	53050	susquehanna	1984	Summer
1578310	1984	7	38670	susquehanna	1984	Summer
1578310	1984	8	28820	susquehanna	1984	Summer
1578310	1984	9	9646	susquehanna	1984	Fall
1578310	1984	10	7983	susquehanna	1984	Fall
1578310	1984	11	15180	susquehanna	1985	Winter
1578310	1984	12	55010	susquehanna	1985	Winter
1578310	1985	1	29820	susquehanna	1985	Winter
1578310	1985	2	36590	susquehanna	1985	Winter
1578310	1985	3	56200	susquehanna	1985	Spring
1578310	1985	4	52150	susquehanna	1985	Spring
1578310	1985	5	24480	susquehanna	1985	Spring
1578310	1985	6	16880	susquehanna	1985	Summer
1578310	1985	7	10700	susquehanna	1985	Summer
1578310	1985	8	7758	susquehanna	1985	Summer
1578310	1985	9	10490	susquehanna	1985	Fall
1578310	1985	10	14280	susquehanna	1985	Fall
1578310	1985	11	53240	susquehanna	1986	Winter
1578310	1985	12	53970	susquehanna	1986	Winter
1578310	1986	1	31890	susquehanna	1986	Winter
1578310	1986	2	66090	susquehanna	1986	Winter
1578310	1986	3	101700	susquehanna	1986	Spring
1578310	1986	4	60910	susquehanna	1986	Spring
1578310	1986	5	27740	susquehanna	1986	Spring
1578310	1986	6	30920	susquehanna	1986	Summer
1578310	1986	7	18030	susquehanna	1986	Summer
1578310	1986	8	19030	susquehanna	1986	Summer
1578310	1986	9	7850	susquehanna	1986	Fall
1578310	1986	10	16590	susquehanna	1986	Fall
1578310	1986	11	50720	susquehanna	1987	Winter
1578310	1986	12	65410	susquehanna	1987	Winter
1578310	1987	1	29510	susquehanna	1987	Winter
1578310	1987	2	22680	susquehanna	1987	Winter
1578310	1987	3	57640	susquehanna	1987	Spring
1578310	1987	4	90980	susquehanna	1987	Spring
1578310	1987	5	28200	susquehanna	1987	Spring
1578310	1987	6	16010	susquehanna	1987	Summer
1578310	1987	7	18010	susquehanna	1987	Summer
1578310	1987	8	6618	susquehanna	1987	Summer
1578310	1987	9	31420	susquehanna	1987	Fall
1578310	1987	10	18160	susquehanna	1987	Fall
1578310	1987	11	25090	susquehanna	1988	Winter
1578310	1987	12	43030	susquehanna	1988	Winter
1578310	1988	1	23500	susquehanna	1988	Winter
1578310	1988	2	55030	susquehanna	1988	Winter
1578310	1988	3	48890	susquehanna	1988	Spring
1578310	1988	4	36670	susquehanna	1988	Spring
1578310	1988	5	61950	susquehanna	1988	Spring
1578310	1988	6	15570	susquehanna	1988	Summer
1578310	1988	7	9565	susquehanna	1988	Summer
1578310	1988	8	8705	susquehanna	1988	Summer
1578310	1988	9	13490	susquehanna	1988	Fall
1578310	1988	10	7996	susquehanna	1988	Fall
1578310	1988	11	28700	susquehanna	1989	Winter
1578310	1988	12	17170	susquehanna	1989	Winter
1578310	1989	1	23130	susquehanna	1989	Winter
1578310	1989	2	26880	susquehanna	1989	Winter
1578310	1989	3	42210	susquehanna	1989	Spring
1578310	1989	4	64460	susquehanna	1989	Spring
